CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
750506866,09/02/2013,20:00:00,09/02/2013,20:05:00,09/02/2013,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,FRONT OF,RESIDENCE-HOUSE,NA,,946043,169939,40.63304566,-74.137654993,"(40.63304566, -74.137654993)"
161662509,08/31/2013,22:00:00,08/31/2013,23:40:00,09/01/2013,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE-HOUSE,NA,,1015481,181598,40.665074417,-73.887427263,"(40.665074417, -73.887427263)"
286012659,08/29/2013,14:00:00,08/31/2013,15:00:00,08/31/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,NA,,1004523,219400,40.768863684,-73.926812225,"(40.768863684, -73.926812225)"
877388564,08/29/2013,23:30:00,08/30/2013,00:05:00,08/30/2013,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,41,,STREET,NA,,1012522,239685,40.824518508,-73.897849003,"(40.824518508, -73.897849003)"
156502425,08/28/2013,06:45:00,08/28/2013,21:00:00,08/28/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,RESIDENCE - APT. HOUSE,NA,,1029989,245987,40.84174248,-73.834694352,"(40.84174248, -73.834694352)"
905702396,08/22/2013,08:00:00,08/26/2013,08:00:00,08/26/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,FRONT OF,RESIDENCE-HOUSE,NA,,1031328,245865,40.84140059,-73.829855888,"(40.84140059, -73.829855888)"
368159282,08/24/2013,22:00:00,,,08/24/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE - APT. HOUSE,NA,,963011,163993,40.616782077,-74.076503406,"(40.616782077, -74.076503406)"
894117084,08/24/2013,09:00:00,08/24/2013,10:00:00,08/24/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,FRONT OF,STREET,NA,,1006302,259986,40.880256428,-73.920256333,"(40.880256428, -73.920256333)"
173939258,08/22/2013,15:50:00,08/22/2013,16:00:00,08/22/2013,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE - APT. HOUSE,NA,,1015843,211995,40.74850566,-73.885979796,"(40.74850566, -73.885979796)"
542800133,08/21/2013,21:30:00,08/22/2013,01:30:00,08/21/2013,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,FRONT OF,PUBLIC BUILDING,NA,,1007435,248210,40.847931977,-73.916199883,"(40.847931977, -73.916199883)"
584976797,08/17/2013,09:00:00,08/21/2013,00:15:00,08/21/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE-HOUSE,NA,,1007800,181210,40.664033205,-73.915115264,"(40.664033205, -73.915115264)"
192823228,08/16/2013,21:00:00,08/19/2013,14:00:00,08/19/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,INSIDE,RESIDENCE-HOUSE,NA,,1013931,173020,40.641535023,-73.893052082,"(40.641535023, -73.893052082)"
649883897,07/22/2013,09:00:00,07/29/2013,09:00:00,08/14/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,76,INSIDE,RESIDENCE - APT. HOUSE,NA,,988162,188235,40.683345707,-73.985896525,"(40.683345707, -73.985896525)"
808269911,03/02/2013,12:00:00,08/13/2013,13:00:00,08/13/2013,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,NA,,998057,239703,40.824602366,-73.950113917,"(40.824602366, -73.950113917)"
