CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
766051621,09/02/2013,23:23:00,,,09/02/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,25,INSIDE,,NA,,1001375,231978,40.803393591,-73.938145012,"(40.803393591, -73.938145012)"
618450929,09/01/2013,19:19:00,,,09/01/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,73,OUTSIDE,,NA,,1008585,182712,40.668153737,-73.912280306,"(40.668153737, -73.912280306)"
496497067,08/31/2013,04:15:00,,,08/31/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,43,OUTSIDE,,NA,,1017429,241149,40.8285197,-73.880111801,"(40.8285197, -73.880111801)"
856069100,08/31/2013,02:30:00,,,08/31/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,105,OUTSIDE,,NA,,1056903,200871,40.717731127,-73.73791174,"(40.717731127, -73.73791174)"
611125685,08/30/2013,01:21:00,,,08/30/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,77,OUTSIDE,,NA,,1003924,185475,40.675749136,-73.929073886,"(40.675749136, -73.929073886)"
351368032,08/28/2013,11:45:00,,,08/28/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,,OUTSIDE,,NA,,1031787,253067,40.861165451,-73.828145947,"(40.861165451, -73.828145947)"
330426252,08/27/2013,19:20:00,,,08/27/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,67,OUTSIDE,,NA,,999459,174711,40.646213127,-73.945195116,"(40.646213127, -73.945195116)"
756927834,08/26/2013,23:57:00,,,08/26/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,52,OUTSIDE,,NA,,1009868,253126,40.861418203,-73.907387089,"(40.861418203, -73.907387089)"
977745705,08/26/2013,13:25:00,,,08/26/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,75,INSIDE,,NA,,1014019,180484,40.662021771,-73.89270205,"(40.662021771, -73.89270205)"
516017877,08/26/2013,09:30:00,,,08/26/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,52,INSIDE,,NA,,1015814,259929,40.880071088,-73.885859046,"(40.880071088, -73.885859046)"
462650442,08/25/2013,22:35:00,,,08/25/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,,OUTSIDE,,NA,,1020934,183476,40.67020819,-73.867761376,"(40.67020819, -73.867761376)"
880241933,08/25/2013,18:50:00,,,08/25/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,75,OUTSIDE,,NA,,1012448,182122,40.666522859,-73.898357707,"(40.666522859, -73.898357707)"
444611020,08/25/2013,00:58:00,,,08/25/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,72,OUTSIDE,,NA,,984692,175339,40.647949898,-73.998408634,"(40.647949898, -73.998408634)"
599953244,08/24/2013,04:49:00,,,08/24/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,62,OUTSIDE,,NA,,984362,163188,40.614597976,-73.999598034,"(40.614597976, -73.999598034)"
371153188,08/23/2013,20:13:00,,,08/23/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,81,OUTSIDE,,NA,,1006104,187792,40.682103662,-73.921207168,"(40.682103662, -73.921207168)"
115334243,08/23/2013,17:33:00,,,08/23/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,42,OUTSIDE,,NA,,1014446,240853,40.827717966,-73.890891952,"(40.827717966, -73.890891952)"
366039217,08/21/2013,05:35:00,,,08/21/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,48,INSIDE,,NA,,1016942,249997,40.85280668,-73.881828404,"(40.85280668, -73.881828404)"
925819466,08/21/2013,04:05:00,,,08/21/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,77,OUTSIDE,,NA,,1003606,185050,40.674583308,-73.930221541,"(40.674583308, -73.930221541)"
762366897,08/18/2013,05:10:00,,,08/18/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,75,OUTSIDE,,NA,,1015292,181227,40.66405677,-73.888110233,"(40.66405677, -73.888110233)"
269472959,08/18/2013,03:30:00,,,08/18/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,42,INSIDE,,NA,,1015460,240997,40.82810968,-73.887227323,"(40.82810968, -73.887227323)"
857983842,08/17/2013,20:30:00,,,08/17/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,32,OUTSIDE,,NA,,999428,236544,40.815929553,-73.945167357,"(40.815929553, -73.945167357)"
885762257,08/16/2013,21:00:00,,,08/16/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,42,INSIDE,,NA,,1011837,239059,40.822802482,-73.900326617,"(40.822802482, -73.900326617)"
819625644,08/15/2013,23:55:00,,,08/15/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,60,OUTSIDE,,NA,MARLBORO,988915,155582,40.593719825,-73.983204116,"(40.593719825, -73.983204116)"
499834468,08/13/2013,22:45:00,,,08/13/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,88,INSIDE,,NA,WHITMAN,991148,192533,40.695140908,-73.975125947,"(40.695140908, -73.975125947)"
746725515,08/13/2013,00:10:00,,,08/13/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,43,OUTSIDE,,NA,,1020650,242677,40.832700931,-73.868464701,"(40.832700931, -73.868464701)"
336941356,08/12/2013,15:10:00,,,08/12/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,47,OUTSIDE,,NA,,1026387,262634,40.887451313,-73.847607787,"(40.887451313, -73.847607787)"
628404721,08/12/2013,00:10:00,,,08/12/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,47,OUTSIDE,,NA,,1025454,268214,40.902771023,-73.850947753,"(40.902771023, -73.850947753)"
593928793,08/11/2013,01:29:00,,,08/11/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,43,OUTSIDE,,NA,,1017583,243171,40.834068925,-73.879545288,"(40.834068925, -73.879545288)"
689296051,08/10/2013,07:04:00,,,08/10/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,41,INSIDE,,NA,,1015683,237311,40.81799187,-73.886438802,"(40.81799187, -73.886438802)"
629059892,08/10/2013,00:39:00,,,08/10/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,47,INSIDE,,NA,,1025488,262406,40.886829771,-73.85086053,"(40.886829771, -73.85086053)"
357028007,08/09/2013,23:26:00,,,08/09/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,88,OUTSIDE,,NA,,990399,191915,40.693445193,-73.977827547,"(40.693445193, -73.977827547)"
877339686,08/09/2013,23:26:00,,,08/09/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,88,OUTSIDE,,NA,,990399,191915,40.693445193,-73.977827547,"(40.693445193, -73.977827547)"
986391835,08/09/2013,21:18:00,,,08/09/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,43,INSIDE,,NA,SOUNDVIEW,1020637,237482,40.818442201,-73.868539851,"(40.818442201, -73.868539851)"
616769473,12/29/1992,00:05:00,,,08/08/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,77,OUTSIDE,,NA,,1003540,185503,40.675826835,-73.930458179,"(40.675826835, -73.930458179)"
904224843,08/05/2013,18:15:00,,,08/05/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,67,OUTSIDE,,NA,,998019,176001,40.649756254,-73.950381588,"(40.649756254, -73.950381588)"
189932810,07/12/2012,19:52:00,,,08/05/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,83,OUTSIDE,,NA,,1008957,189412,40.686542688,-73.910914785,"(40.686542688, -73.910914785)"
397032166,08/04/2013,07:59:00,,,08/04/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,75,OUTSIDE,,NA,,1017036,183890,40.67135982,-73.881811023,"(40.67135982, -73.881811023)"
281570674,08/04/2013,07:30:00,,,08/04/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,90,INSIDE,,NA,TAYLOR STREET-WYTHE AVENUE,993758,196212,40.705236485,-73.965708599,"(40.705236485, -73.965708599)"
315334832,08/04/2013,02:00:00,,,08/04/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,77,OUTSIDE,,NA,,995443,183750,40.671029183,-73.959651952,"(40.671029183, -73.959651952)"
112831788,08/03/2013,12:20:00,,,08/03/2013,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,121,OUTSIDE,,NA,,938468,160666,40.607557333,-74.164883529,"(40.607557333, -74.164883529)"
